var_45,ordinal_position_data,int,artname,stat_code,raw_integer,stddev,correlation_14,word2vec,event,likelihood,v_633,semver,c_cor,swift,ksmpsa64,integer_22,iso_currency_code_v2,val_zs,NUMERIC_RANGE,val_corre,TRANSLATION,fchd84,val_atlj,c_gzl,bucket,jqa15,given_name,fact_standard_deviation,raw_schema_table_name,c_236,integer,partitionKey,binval,addressLine,src_decimal_float,col_vari,yyv37,binary,median_14,integer_2,image_embedding_14,fact_word_embedding,PARTITION_KEY,f_280,meta_586,fact_probability_confidence,INTEGER,probability_confidence_14,meanAverage,zip,raw_market_value,min_max,MAIDEN_NAME,standard_deviation_14,user_trend_growth_rate,correlation,f_role,probability_confidence_v2,duration,decimal_float_14,trend_growth_rate_14,standard_deviation_val,confidence_interval,MODIFIED_AT,customer_numeric_range,MEAN_AVERAGE,numeric_range_14,intval,col_wab,percentile_field,c_hds,mean,vital_sign_22,ordinal_position,image_embedding_val,standard_deviation
46.42%,641,5406,The Scream,active,2334,26.4467,-0.2916,"[1.477, 1.3353, 0.0713, -0.0617, -0.2566, -0.1737, 0.8593, 1.3845]",Data Conference 2023,0.7231,E. coli,2.6.77,-0.2009,289741128,"[0.5632, 0.3994, -0.3165, -0.3056, 0.021, 0.2148, 0.0834, 1.0729]",6578,BRL,306,30-93,0.5561,Namaste,2311-7744,38.7104,1,29.21,81.13,Michael,30.8254,sales.orders,Observation: backup schedule,8495,region=2024-01,1,6664 Park Blvd,8378.3031,"[1.26, 70.96]",C6H12O6,1,-37.0531,6312,"[-0.5523, -0.1282, -0.3664, -0.6031, 0.258, 0.2171, 0.1208, 0.9127]","[1.598, 0.4042, -0.7339, 1.2644, -0.4389, 0.6477, -0.8253, -0.6178]",dt=acme,Polyethylene,48-71,0.0459,3543,0.6238,3.4463,85474,"$313,644,957",21-68,Anderson,16.522,25.12%,0.8971,Product Manager,0.5155,25224,1961.9394,49.76%,2.1202,"[4.01, 88.88]",2026-09-05T19:05:02Z,29-94,-20.2693,43-81,9834,1.5603,95.62,"$4,300,825",-87.1441,BP 118/75 HR 75,161,"[-0.0188, -0.8738, 0.3858, -0.4985, -0.1478, 0.6787, 0.2541, 0.6272]",49.8186
-43.31%,72,2853,Water Lilies,cancelled,3928,37.448,-0.1622,"[1.1569, 0.1831, -0.8103, 0.1208, -0.7487, 0.5518, 0.5132, -0.1566]",Global Summit 2026,0.0006,E. coli,1.15.27,0.0563,620085349,"[0.0518, -0.4077, 0.4046, 0.152, -0.4237, 0.3118, 0.1913, 0.0731]",9893,CHF,747,33-63,0.8976,Guten Tag,4255-1249,20.7792,0,63.41,89.24,Amy,5.5742,sales.orders,Non-conformance: access control,8238,region=us-east,1,328 Elm St,9691.1475,"[4.15, 80.56]",E. coli,0,-19.1084,6031,"[0.1763, -0.9999, -0.471, -0.317, 0.079, -0.2036, 0.0601, 0.534]","[-0.4228, -0.3365, -0.717, 0.7071, -0.201, -0.4516, -2.5626, -0.8999]",region=acme,Aluminum,43-58,0.0105,8107,0.5715,7.0468,TY7 6GS,"$278,525,710",41-55,Johnson,14.6595,21.13%,-0.6481,Data Analyst,0.5937,59011,1537.5392,-46.83%,21.6087,"[12.23, 84.8]",2026-07-15 12:36:08,33-96,49.494,11-82,9263,4.4826,49.89,"$2,940,224",-15.6325,BP 147/95 HR 106,836,"[1.158, 0.7135, -0.4896, -0.2896, -0.0894, 0.4855, -1.0039, -0.3163]",9.1804
-13.46%,717,8482,Starry Night,completed,621,34.6,-0.7509,"[0.596, 1.7525, -0.1758, 1.6258, 0.514, 0.6013, -0.2158, -0.6975]",Global Summit 2023,0.4897,Homo sapiens,5.15.60,0.6446,840952247,"[-0.6878, 0.7256, -0.2022, -0.5512, 0.2871, 0.9461, 0.4301, -0.4128]",201,INR,4086,10-77,0.5496,Bonjour,7333-2298,6.4843,0,67.45,72.42,Jessica,2.3137,analytics.events,Non-conformance: access control,4204,dt=acme,1,7038 Main St,742.7393,"[21.21, 98.88]",Homo sapiens,1,-59.7601,425,"[0.4295, -0.6643, 0.5588, 0.3494, 0.4714, 0.2812, 1.0875, 0.0731]","[1.0267, -0.9714, 1.2433, -0.3756, 1.2227, -0.8016, 0.629, 0.38]",dt=us-east,Carbon Fiber,26-52,0.9036,1606,0.3836,-95.7149,DX3 9UR,"$847,714,376",16-69,Garcia,21.7822,-4.93%,0.5117,Product Manager,0.1016,76657,8795.1847,-43.58%,3.5105,"[1.11, 90.37]",2022-01-26 18:58:45,42-93,-16.845,46-96,2541,8.6303,95.54,"$4,709,010",39.7567,BP 145/110 HR 83,892,"[0.4946, 0.3044, -0.7151, 0.2743, -0.0599, -0.5283, 0.0795, 1.2955]",18.8005
-13.94%,66,8735,The Scream,active,1536,31.7016,-0.9463,"[-0.651, -0.5414, -0.0493, -0.7238, 1.2868, -0.8374, -0.0866, -0.5654]",Data Forum 2020,0.8171,C6H12O6,2.20.49,0.5167,514745299,"[0.0384, -0.4928, 0.4629, -0.3238, -0.8352, -0.1084, 0.0203, 0.7228]",6642,CAD,4624,7-55,-0.5132,Guten Tag,8426-7386,45.1895,1,37.86,93.32,Ethan,20.7467,analytics.events,Observation: backup schedule,8713,region=acme,0,2804 Maple Dr,6671.9748,"[3.03, 76.1]",C6H12O6,1,57.4933,3721,"[-0.5013, -0.1387, 0.3568, 0.1208, -0.3968, -0.4438, -0.2323, 0.0373]","[-0.0454, -0.0181, -0.5641, 0.2644, 0.7176, 1.0275, -0.6133, 1.4053]",tenant=us-east,Polyethylene,36-92,0.3056,5863,0.6286,-39.0233,33262,"$350,438,895",9-68,Martinez,22.2109,-16.09%,0.3979,Data Analyst,0.7497,47056,-823.2608,-17.86%,9.0561,"[24.84, 91.15]",2021-08-09T16:29:32Z,47-96,-31.8755,30-76,4933,5.1632,93.01,"$2,337,026",40.251,BP 139/102 HR 63,193,"[-0.4339, -0.1753, -0.129, -0.2062, 0.3987, 1.0767, -0.0084, -1.4775]",8.3821
-19.42%,797,8072,Starry Night,cancelled,2613,23.2859,-0.8241,"[0.7075, 0.4021, 0.1075, 0.1175, -0.1455, 0.9015, 0.7252, 0.5754]",Global Conference 2022,0.5928,NaCl,0.2.34,0.8267,608560422,"[0.4175, 0.2889, 0.5727, -0.1408, 0.4078, -0.0195, -0.3182, 0.8148]",8629,JPY,9162,50-79,0.8044,Bonjour,5936-2499,21.5548,1,27.78,59.01,Lucas,22.3055,hr.employees,Observation: backup schedule,2013,tenant=us-east,0,4252 Maple Dr,1074.247,"[22.13, 77.54]",Homo sapiens,0,-51.9281,4971,"[0.1718, 0.3923, -0.0373, -0.1036, 0.0301, 0.1529, 0.4407, 0.4137]","[0.8325, 0.2101, -0.8933, -0.2731, -0.5587, 0.8584, -0.1266, 0.0147]",tenant=acme,Polyethylene,48-92,0.026,1271,0.3899,24.7876,GM9 5PZ,"$589,596,753",23-97,Clark,23.9924,-44.78%,0.9434,Data Analyst,0.5561,60480,1377.701,19.56%,34.6004,"[37.91, 87.54]",2022-05-19T04:07:54Z,32-97,36.7691,13-55,2581,3.1268,39.32,"$2,028,938",-99.6525,BP 98/92 HR 59,838,"[0.4944, -0.0255, 0.1135, -0.6071, -0.2165, -0.1929, 0.4229, 0.6117]",45.0427
2.23%,262,8977,The Persistence of Memory,approved,7958,35.2474,-0.0347,"[0.9323, 0.9065, -0.0573, -0.904, 0.5385, 0.1815, 0.2313, 1.024]",Annual Expo 2022,0.4331,H2O,1.4.71,-0.2365,180157323,"[0.6597, -0.1445, -0.0099, 0.561, 0.882, -0.6785, -0.0399, 0.0931]",4320,CNY,7950,28-60,-0.3016,Namaste,6394-7533,29.0464,0,71.34,58.8,Aiden,25.3793,analytics.events,Observation: backup schedule,3820,dt=acme,1,5012 Pine Rd,5437.9701,"[18.43, 83.43]",H2O,1,-32.7707,3341,"[1.1882, 0.7288, 0.1122, 0.3133, 0.094, 0.3612, -0.5723, 0.0503]","[-1.2399, -0.3189, 1.415, 2.0526, 1.0644, 0.3509, -0.6499, -0.5964]",dt=us-east,Polyethylene,45-73,0.7089,5304,0.4749,5.2337,83907,"$349,714,614",28-61,Moore,8.8153,10.39%,-0.7475,Data Analyst,0.7712,82276,1258.3367,24.69%,21.0347,"[7.93, 83.18]",2022-06-27 18:38:31,18-85,-27.3474,46-65,4585,5.6541,93.93,"$4,953,018",67.2705,BP 107/75 HR 64,200,"[0.1192, 0.2428, -0.3288, 0.7898, -0.1223, 0.8979, 0.5572, 0.4836]",45.0803
-47.41%,966,3856,The Persistence of Memory,active,1495,17.0417,0.6037,"[1.0605, 0.5042, -1.5767, -1.4569, 1.9715, 0.1455, -1.0234, -0.0013]",Global Expo 2024,0.5877,E. coli,4.7.7,-0.2467,015461004,"[-0.4047, -0.1046, -0.7563, -0.356, -0.4085, 0.2228, 0.1343, -0.0749]",6043,BRL,4768,21-83,0.5575,Hola,4309-6737,41.7332,1,39.28,41.92,John,44.6808,sales.orders,Observation: backup schedule,3699,tenant=us-east,1,1154 Pine Rd,6059.6151,"[12.32, 83.52]",Homo sapiens,0,-12.5692,974,"[-0.3456, 0.0083, 0.5282, -0.1855, -0.7465, -0.3417, -0.9307, -0.6936]","[-1.046, -0.0536, 0.2415, -0.8981, 1.4275, 0.5719, 0.1787, -1.3892]",dt=2024-01,Aluminum,27-60,0.8173,1257,0.9575,49.5855,XK4 7HD,"$623,766,559",17-85,Robinson,8.6299,-30.72%,0.3056,Designer,0.4495,6345,9981.7281,-29.04%,2.0891,"[22.39, 61.4]",2025-09-02 11:00:25,23-94,76.8305,34-97,7350,7.9692,90.98,"$1,930,845",-28.4648,BP 167/101 HR 72,961,"[1.2425, 0.489, 0.6727, -0.1808, 0.341, -0.5113, -0.2959, -0.137]",42.7196
-26.22%,290,6256,The Scream,inactive,9146,46.0399,0.1453,"[-0.1709, 0.0564, 1.0447, 0.3151, 0.0719, -0.8338, -0.1177, -0.2717]",Annual Conference 2020,0.0169,E. coli,1.3.49,0.665,196292416,"[-0.0995, -0.184, 0.3353, 0.0111, -0.2921, -0.3832, -0.2693, -0.3481]",4150,JPY,8298,35-81,0.8267,Guten Tag,8536-6636,23.1992,1,66.79,49.0,Michael,30.5194,public.users,Non-conformance: access control,4371,tenant=us-east,0,8674 Maple Dr,7365.7684,"[4.68, 80.79]",NaCl,0,77.3277,6716,"[0.4039, -0.9454, 0.4912, 0.4872, -0.9387, -0.2976, 0.0667, -0.0094]","[0.4036, 2.0479, -0.6179, 0.3144, 0.5077, -0.7087, 0.5204, -0.4563]",dt=2024-01,Polyethylene,32-80,0.2724,8006,0.7834,21.2195,AT4 3TZ,"$634,532,362",35-86,Brown,17.3146,31.33%,0.7754,Product Manager,0.8854,48506,6187.6726,-10.83%,39.1461,"[18.27, 61.88]",2021-07-09T01:31:40Z,50-71,17.0341,23-55,6362,4.394,14.3,"$1,942,446",-82.6459,BP 179/109 HR 82,489,"[-0.2477, -0.995, 0.2176, 0.8515, 0.4737, -0.2565, 0.4246, 0.5065]",46.8957
37.4%,381,9897,Starry Night,pending,1709,42.1749,-0.0961,"[2.5705, -0.6583, 0.9656, 1.2255, 0.4674, -0.8343, -0.9895, -0.4117]",Global Conference 2024,0.2275,Fe2O3,5.9.84,0.1995,342941680,"[0.0057, 0.1677, 0.0648, 0.4834, 0.855, -0.2659, -0.6803, -0.1213]",3173,AUD,8581,19-94,-0.4903,Hola,1119-6234,22.5214,1,75.0,39.75,Elizabeth,1.7575,sales.orders,Major finding: data retention,3270,tenant=2024-01,1,9154 Maple Dr,385.3532,"[31.62, 63.3]",C6H12O6,1,-97.5784,3070,"[-1.2789, -0.2422, 0.6137, 0.4794, -0.2336, -0.105, -0.529, -1.3082]","[0.5245, 0.6683, -0.9704, -0.3836, -0.3804, 1.5792, -0.3689, 1.6335]",tenant=acme,Titanium,1-67,0.7305,660,0.5592,94.5006,IZ7 7TQ,"$101,805,174",34-74,Thompson,31.2161,5.76%,0.3972,Designer,0.4785,14361,8769.0007,45.15%,47.4247,"[8.33, 92.89]",2024-06-23T23:11:15Z,47-97,19.4971,40-76,43,9.5045,20.14,"$4,538,426",35.0407,BP 120/88 HR 63,95,"[-0.1951, -0.3692, -0.2544, -0.488, -0.5282, -0.2528, -0.679, -0.7868]",25.89
7.43%,902,2667,Starry Night,active,9528,18.0405,-0.8617,"[-1.0274, 1.9659, -0.5223, 0.945, 1.0071, -1.1103, -0.1659, -0.8993]",Tech Summit 2020,0.5321,NaCl,3.8.33,0.8866,361300468,"[-0.3536, 0.3085, -0.2728, -0.2003, 0.336, 0.5595, -0.8667, -0.4112]",3077,USD,8018,47-53,0.4368,Bonjour,1319-9206,21.9775,0,94.33,97.03,Lucas,46.8086,public.users,Observation: backup schedule,7179,tenant=us-east,1,1843 Elm St,9533.4878,"[7.48, 77.85]",Homo sapiens,1,45.1909,5516,"[-0.3039, 0.1784, 0.6839, 1.1822, -0.4945, 0.1401, -0.3397, -0.447]","[-0.2266, 0.8662, 0.0621, 0.4838, -0.0336, 3.0909, 0.2594, 0.6811]",region=us-east,Titanium,10-99,0.7153,7603,0.5055,97.3617,98898,"$62,801,970",21-94,Jackson,47.049,39.04%,-0.768,Software Engineer,0.2453,4224,2987.2189,-21.58%,35.522,"[20.81, 60.72]",2020-12-23T04:07:56Z,14-55,52.7274,10-63,6692,8.1929,89.16,"$3,270,918",33.1245,BP 110/96 HR 65,289,"[-0.5764, -0.7522, -0.4536, 0.1051, -0.0082, -0.2728, -0.8398, -0.063]",5.6708
-16.04%,996,9993,Water Lilies,rejected,7416,26.3105,-0.2582,"[-1.0672, 0.9508, 1.0956, 0.3368, 0.403, 0.1234, -0.4629, -2.4295]",Global Conference 2024,0.1741,Homo sapiens,1.6.85,-0.288,454355264,"[0.2605, -0.4373, 0.4123, -0.4084, -0.0629, -0.0147, 0.1204, -0.3076]",6414,GBP,8124,12-51,0.7242,Hola,9469-3468,31.7858,1,4.17,0.67,Sophia,29.466,sales.orders,Observation: backup schedule,5129,dt=us-east,0,8844 Main St,4050.7047,"[11.12, 62.41]",NaCl,1,9.5796,2426,"[-0.3386, 0.1022, 0.2087, -0.2203, 0.2326, -0.0777, 0.553, -0.1277]","[-0.606, 2.2182, 0.5112, 1.8583, -1.5123, 0.3559, -1.7029, 1.0906]",tenant=us-east,Polyethylene,33-83,0.8696,1832,0.716,13.6235,KY9 4QQ,"$18,969,726",47-86,Thomas,13.9031,-36.78%,-0.9476,Software Engineer,0.4687,62753,1920.8479,3.47%,3.8735,"[17.81, 73.57]",2019-01-13 07:24:17,14-88,-71.5097,28-67,1583,2.3087,3.04,"$375,838",-71.1069,BP 148/74 HR 88,774,"[-0.7164, 0.4189, -0.7023, 0.3748, 0.7755, -0.2888, -0.457, 0.5909]",13.1331
21.19%,431,9115,The Scream,completed,7731,23.9728,0.3507,"[-1.5317, 1.3845, -2.064, -0.7925, -1.2885, -0.0984, 1.5889, -0.5194]",Data Forum 2024,0.0469,E. coli,4.3.87,0.5817,594510363,"[0.1874, -0.5432, 0.3346, 0.2335, -0.3623, 0.9783, 0.2145, 0.8817]",9379,AUD,2305,17-60,0.2486,Bonjour,4579-5943,36.4626,1,58.65,65.33,Sophia,36.5514,hr.employees,Observation: backup schedule,8240,dt=us-east,1,5040 Elm St,3764.221,"[12.46, 71.75]",Homo sapiens,0,49.1901,8194,"[-0.8958, 0.8145, -0.6868, 0.074, -0.7077, 0.1358, 0.0479, -0.718]","[1.3491, -0.594, 0.0021, -1.4546, -1.9276, 0.5059, -0.5017, 1.0719]",region=acme,Glass,26-91,0.2248,8419,0.5757,-52.342,CW9 7YM,"$448,118,576",42-74,King,35.445,25.05%,-0.6103,Sales Rep,0.7631,74152,9722.0922,-29.52%,49.8393,"[27.39, 63.21]",2022-07-18 12:07:04,48-69,-83.0086,20-84,1131,5.1015,7.27,"$2,664,724",-75.8588,BP 167/87 HR 116,398,"[0.0726, 0.5538, 0.2257, -0.5879, 0.6984, -0.0525, -0.1024, -0.4856]",26.4888
-46.63%,585,4429,Water Lilies,failed,3963,47.5213,0.7873,"[0.7407, -0.977, 0.3584, -0.5907, -0.2021, 0.0204, -0.5159, 2.2381]",Data Forum 2024,0.6212,C6H12O6,4.12.93,-0.8262,879353945,"[0.0286, 1.0467, -0.2839, -0.3142, -0.4616, -0.044, 0.6365, 0.1553]",9647,INR,2829,16-64,0.2932,Guten Tag,2205-5392,47.1751,1,86.79,27.45,Michael,47.6134,hr.employees,Major finding: data retention,858,tenant=2024-01,0,3094 Elm St,9346.3465,"[21.97, 69.96]",E. coli,1,-85.1809,4666,"[0.3582, 0.6639, -0.1345, 1.3462, 0.5087, 0.0883, 0.42, 0.7214]","[0.8644, 0.7357, -0.3118, -0.2122, 0.841, -0.3668, -1.3166, -0.0625]",region=2024-01,Aluminum,0-100,0.8485,7231,0.6975,-66.9337,63604,"$295,903,027",36-84,Johnson,28.7695,-44.28%,0.3459,Sales Rep,0.7946,35900,4384.0557,-19.21%,16.2446,"[26.49, 63.87]",2024-08-16 07:00:41,2-68,90.8117,14-98,5441,1.1925,30.89,"$2,174,514",-37.185,BP 163/67 HR 81,803,"[0.3235, -0.92, 0.5616, -0.0437, 0.3213, 0.9608, -0.6411, 0.0012]",23.2952
-39.67%,831,6092,The Scream,failed,8264,26.8769,0.9736,"[-1.718, 1.0607, -1.7749, 0.7024, 0.6741, 0.0626, 2.3688, -1.9317]",Data Forum 2020,0.5612,Fe2O3,3.0.41,-0.8404,314588675,"[0.2312, -0.6229, -0.5483, 0.9082, -0.1803, -0.1006, -0.0033, 1.2096]",4858,GBP,5757,14-66,-0.3227,Namaste,3715-1285,15.3602,1,7.22,28.45,William,24.936,analytics.events,Major finding: data retention,5212,tenant=2024-01,1,7562 Oak Ave,9984.2403,"[36.22, 78.75]",Fe2O3,1,-23.5327,4290,"[0.0879, 0.4477, 0.5545, 0.1025, 0.3508, 0.4383, 0.3519, -0.7528]","[1.3537, 2.3693, -1.1115, 1.7665, 0.7686, 0.4491, 1.2856, 1.576]",tenant=acme,Carbon Fiber,18-71,0.2341,8980,0.4794,-24.0081,30078,"$894,138,779",14-98,Miller,3.2625,43.48%,0.1449,Software Engineer,0.7928,30375,1177.7055,-24.57%,24.8573,"[4.35, 79.47]",2021-12-02 10:58:54,44-96,-88.9066,39-95,7083,2.947,40.88,"$1,589,934",-18.9058,BP 108/61 HR 60,838,"[0.7564, 0.2192, 0.5291, 0.2246, 0.6047, 0.0291, -0.2098, 0.0807]",4.7136
-24.69%,14,41,Starry Night,failed,555,29.6496,0.8457,"[-1.7061, 1.1272, 0.9535, 0.515, 0.207, -0.5905, 0.6574, 0.5235]",Tech Conference 2021,0.399,NaCl,4.19.69,0.3653,662973052,"[-0.376, 0.4651, 0.3599, -0.2666, -0.0383, 0.45, -0.7535, -0.1554]",3253,CAD,1074,34-81,0.3179,Guten Tag,4979-2470,20.0613,0,24.37,28.01,Ethan,33.1273,sales.orders,Major finding: data retention,3967,region=us-east,1,1869 Park Blvd,9084.6832,"[34.98, 78.87]",C6H12O6,0,19.2994,8612,"[0.9746, 0.0106, -0.3034, 0.4899, -0.0905, -0.0405, 0.4811, 0.1894]","[1.749, 1.1915, -0.5024, 1.5892, 1.4084, 0.3813, 0.1059, 2.5831]",region=us-east,Steel,45-82,0.8807,9421,0.2121,-59.4297,QE6 6WU,"$549,962,976",7-52,Rodriguez,3.3816,9.35%,0.8995,Data Analyst,0.5959,28186,2301.7317,25.37%,49.9049,"[5.24, 79.5]",2025-04-15 16:18:45,17-73,80.2021,48-74,2560,7.2437,60.19,"$1,564,329",-45.2528,BP 129/100 HR 117,878,"[0.0493, -0.2949, -0.0891, 0.1549, 0.4099, 0.4915, 0.8871, 0.5402]",43.4792
-35.51%,27,2162,Water Lilies,cancelled,4968,29.6276,0.2268,"[-2.5785, 2.4895, 2.3108, 0.847, -0.2525, -0.4103, -0.5224, 1.2867]",Tech Summit 2026,0.7712,E. coli,5.14.96,0.8497,283961384,"[1.3163, 0.5775, -1.0174, -0.0356, 0.2512, 0.4056, -0.0826, 0.257]",2114,AUD,2272,20-91,0.1955,Bonjour,8930-2281,8.8234,0,40.25,8.7,Noah,38.499,public.users,Major finding: data retention,7177,tenant=us-east,1,9739 Main St,1805.2572,"[35.5, 88.85]",E. coli,1,49.2564,9560,"[-0.0113, 1.0049, -0.1326, 0.1942, 1.2275, -0.7022, -0.8773, 0.6496]","[-0.923, -1.7377, 0.2947, 0.4208, 1.1252, -0.8987, -1.322, 1.4995]",tenant=2024-01,Titanium,36-73,0.8592,7002,0.9877,31.0176,72315,"$509,012,748",36-73,Davis,2.4975,35.75%,0.4975,CTO,0.4501,61408,-464.9027,-17.3%,23.3914,"[20.51, 90.68]",2020-06-03 06:56:29,46-73,-20.1825,39-77,5514,0.0449,87.48,"$806,733",69.013,BP 177/98 HR 68,981,"[-0.8109, -0.3866, -0.0302, -0.9478, -0.2579, 0.494, 0.0973, -0.2513]",41.8566
48.98%,162,7032,The Persistence of Memory,failed,2503,9.5311,0.4651,"[-0.4837, -0.8123, -0.7266, 1.2033, 0.0669, 0.6202, 1.6072, -1.535]",Tech Summit 2022,0.6266,H2O,5.15.80,0.5657,682108078,"[0.4744, 0.0091, -0.4974, 0.7726, -0.78, -0.4368, -0.4489, -0.1004]",1565,AUD,8786,10-81,-0.4173,Bonjour,7959-2151,32.2697,0,14.45,51.63,Aiden,7.3519,sales.orders,Non-conformance: access control,1623,tenant=acme,0,7320 Oak Ave,1662.0139,"[6.58, 62.1]",Fe2O3,0,39.2007,7652,"[-0.0663, -0.8235, -0.1883, -0.8082, -0.1201, -0.0865, 0.7358, 0.5203]","[0.1595, -0.12, -0.8735, -0.5417, 0.5141, -0.005, -0.2893, 0.3016]",tenant=us-east,Steel,22-54,0.0577,7878,0.5561,75.4957,49881,"$179,512,318",28-89,Davis,36.2176,44.46%,0.8806,Sales Rep,0.5522,17271,8600.3318,47.14%,36.9947,"[12.51, 90.82]",2023-06-17 09:00:10,2-95,-89.3721,27-91,7276,5.6264,99.41,"$4,258,193",76.92,BP 114/88 HR 90,624,"[-0.2807, -0.9478, 0.9867, 0.0342, -0.2497, -0.4738, 0.512, 0.8313]",35.3037
-45.72%,539,5222,Water Lilies,active,4012,42.6084,-0.1461,"[1.0523, 0.0521, 1.159, -0.2238, -1.0209, 0.4697, 0.2033, -1.1176]",Global Expo 2025,0.8363,E. coli,5.20.78,0.2908,295668964,"[-0.1376, 0.2085, -1.6437, 0.098, -0.0566, 0.8182, -0.3366, 0.5106]",8493,EUR,3195,42-66,0.4954,Konnichiwa,7760-8562,27.2792,1,48.47,91.32,William,22.859,analytics.events,Major finding: data retention,7504,tenant=acme,1,9918 Pine Rd,6906.566,"[0.41, 95.27]",Homo sapiens,1,-90.6004,6128,"[-0.7053, -0.0508, -0.8771, 0.2014, 0.0605, 0.4373, -0.0232, -0.8969]","[-0.5973, -0.3486, 0.7477, 1.1505, 0.2201, 1.5919, -0.5257, 0.0886]",tenant=2024-01,Titanium,27-94,0.9849,369,0.5693,23.998,RD7 8KE,"$935,488,535",47-54,Robinson,46.4882,16.69%,0.7681,Data Analyst,0.383,61432,6036.3556,-2.68%,44.4203,"[7.94, 66.35]",2021-03-14 20:22:13,47-76,-11.6692,3-56,4213,7.5869,42.87,"$3,711,088",-26.7833,BP 141/62 HR 103,306,"[-0.0562, -0.5085, -0.1968, 0.1238, -0.3884, 0.351, 0.64, 0.083]",1.6929
38.56%,858,8281,The Persistence of Memory,rejected,1300,45.0552,-0.428,"[-0.3566, 0.6083, 1.4325, -0.6213, 0.4751, 1.5119, 0.6113, 0.3196]",Annual Expo 2025,0.4888,Homo sapiens,2.5.26,-0.5795,900745016,"[0.3333, 0.6818, -0.494, -0.4629, 0.2703, -0.0944, -0.1126, 0.1489]",7504,INR,3478,20-87,-0.5321,Konnichiwa,6007-2517,32.3375,1,3.95,9.31,Jessica,25.7964,sales.orders,Observation: backup schedule,8504,dt=us-east,0,1577 Maple Dr,5981.9169,"[4.07, 94.46]",NaCl,1,-4.215,9927,"[-0.3992, 0.479, -0.2574, 0.2624, 1.0539, 0.1305, 0.0455, 0.2344]","[-0.1948, 0.4778, -0.4414, -2.3878, 0.9467, -0.179, 0.3498, -0.1155]",tenant=2024-01,Steel,48-84,0.9682,524,0.9185,-30.4673,54135,"$7,024,408",5-52,Garcia,49.428,36.87%,-0.9332,CTO,0.6117,73841,8648.8096,48.61%,31.7028,"[39.76, 82.16]",2022-03-12T11:55:29Z,33-73,70.191,42-62,3858,5.7838,22.46,"$763,726",96.6991,BP 122/81 HR 55,795,"[0.5853, 0.7633, 0.1896, -0.8661, 0.0816, 0.9838, -0.0665, 0.3009]",6.8572
2.34%,670,9822,Starry Night,cancelled,7864,6.9914,0.128,"[-0.5457, 0.1095, 0.5659, -2.1415, -0.1901, -0.4994, 1.0891, 0.0553]",Annual Forum 2023,0.1283,E. coli,4.5.23,0.1925,681865355,"[-0.2184, 0.1405, -0.1893, -0.2646, 0.3581, 0.4528, 0.3014, 0.0178]",9146,INR,2323,22-52,0.1367,Guten Tag,8305-9959,6.5893,1,79.55,22.88,David,33.0524,sales.orders,Major finding: data retention,6328,region=us-east,1,2562 Elm St,7812.2811,"[37.69, 91.69]",Homo sapiens,1,-61.5399,2856,"[0.0762, -0.2518, 0.0854, 0.5572, -0.6089, 0.3667, -0.1951, 0.1874]","[0.2562, -1.4495, -0.5511, -1.1972, -0.9573, -0.44, 0.2438, 0.7674]",tenant=us-east,Steel,7-51,0.9339,6023,0.2689,-66.5833,99261,"$290,934,886",7-83,Martin,25.7098,-16.27%,0.8762,Sales Rep,0.342,3725,-13.5473,-0.01%,5.1667,"[2.54, 83.1]",2020-05-23 19:37:25,42-53,46.1796,8-97,7809,6.6688,97.28,"$2,090,715",-52.0973,BP 160/71 HR 106,743,"[-0.5095, -0.2621, -0.2072, -0.0963, 0.1173, -0.5548, 0.5062, 0.4755]",8.1602
-31.62%,428,4042,The Persistence of Memory,failed,9818,23.3813,0.1028,"[-0.9618, 0.289, -0.7185, -0.119, 1.4425, 1.0421, 0.5769, -0.7939]",Data Expo 2025,0.218,E. coli,4.5.45,-0.7451,386255423,"[-0.0669, -0.1855, -0.2865, -0.5434, -0.2235, -0.1309, -0.0635, -0.9833]",1581,USD,2090,11-69,0.9331,Bonjour,2160-8004,45.2019,0,41.94,8.55,Jessica,46.9406,hr.employees,Major finding: data retention,4377,dt=acme,0,2730 Oak Ave,614.1225,"[38.51, 95.01]",E. coli,0,-72.3244,2542,"[-0.6445, -0.9034, -0.744, 0.468, 0.9724, -0.0561, -0.0447, -0.388]","[-1.4667, -0.0534, -0.2879, -1.1393, 1.7856, 0.1214, 1.1666, 0.6279]",region=us-east,Steel,25-58,0.4914,1237,0.2404,-78.9946,IV7 3BB,"$492,502,714",40-78,Jones,0.3354,-41.5%,-0.4193,Designer,0.6716,15546,-852.2617,-41.64%,34.005,"[30.65, 82.54]",2021-03-13 16:09:11,23-94,-54.629,39-55,2783,5.2322,36.66,"$4,376,438",95.2504,BP 131/76 HR 92,355,"[-0.1477, 0.4146, 0.2756, 1.2726, -0.165, 0.174, -0.8853, -0.0956]",28.2043
